GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetdiagonal,MtypeNonTargte tied, and prior 0.1 is 0.33671319796954313
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetdiagonal,MtypeNonTargte diagonal, and prior 0.1 is 0.33705583756345175
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargetdiagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.34878172588832485
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied diagonal,MtypeNonTargte mvg, and prior 0.1 is 0.37833756345177666
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied diagonal,MtypeNonTargte tied, and prior 0.1 is 0.34128172588832484
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied diagonal,MtypeNonTargte diagonal, and prior 0.1 is 0.3469670050761421
GMM, minDCF NO PCA with nTarget 2,nNonTarget32,MTypeTargettied diagonal,MtypeNonTargte tied diagonal, and prior 0.1 is 0.35878172588832485
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetmvg,MtypeNonTargte mvg, and prior 0.1 is 0.5023096446700507
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetmvg,MtypeNonTargte tied, and prior 0.1 is 0.5212690355329949
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetmvg,MtypeNonTargte diagonal, and prior 0.1 is 0.5359263959390862
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetmvg,MtypeNonTargte tied diagonal, and prior 0.1 is 0.5504060913705583
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargettied,MtypeNonTargte mvg, and prior 0.1 is 0.5056725888324872
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargettied,MtypeNonTargte tied, and prior 0.1 is 0.5180710659898476
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargettied,MtypeNonTargte diagonal, and prior 0.1 is 0.5392766497461929
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargettied,MtypeNonTargte tied diagonal, and prior 0.1 is 0.5288451776649745
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetdiagonal,MtypeNonTargte mvg, and prior 0.1 is 0.48126903553299494
GMM, minDCF NO PCA with nTarget 4,nNonTarget2,MTypeTargetdiagonal,MtypeNonTargte tied, and prior 0.1 is 0.5069543147208122
